product_id,product_name,category,price,stock_quantity
1,Headphones-LUIWVOYB,Accessories,355.18,46
2,"HL Road Frame - Black, 58",Road Frames,497.87,330
3,"HL Road Frame - Red, 58",Road Frames,434.5,329
4,"Sport-100 Helmet, Red",Helmets,311.65,712
5,"Sport-100 Helmet, Red",Helmets,271.64,572
6,"Sport-100 Helmet, Red",Helmets,235.47,356
7,"Sport-100 Helmet, Black",Helmets,310.69,986
8,"Sport-100 Helmet, Black",Helmets,449.72,158
9,"Sport-100 Helmet, Black",Helmets,6.28,256
10,"Mountain Bike Socks, M",Socks,456.98,747
11,"Mountain Bike Socks, L",Socks,498.09,314
12,"Sport-100 Helmet, Blue",Helmets,68.26,388
13,"Sport-100 Helmet, Blue",Helmets,297.46,63
14,"Sport-100 Helmet, Blue",Helmets,222.25,526
15,AWC Logo Cap,Caps,315.17,560
16,AWC Logo Cap,Caps,154.28,259
17,AWC Logo Cap,Caps,159.33,736
18,"Long-Sleeve Logo Jersey, S",Jerseys,490.87,529
19,"Long-Sleeve Logo Jersey, S",Jerseys,467.97,113
20,"Long-Sleeve Logo Jersey, S",Jerseys,342.15,75
21,"Long-Sleeve Logo Jersey, M",Jerseys,462.59,137
22,"Long-Sleeve Logo Jersey, M",Jerseys,242.66,46
23,"Long-Sleeve Logo Jersey, M",Jerseys,297.72,41
24,"Long-Sleeve Logo Jersey, L",Jerseys,297.93,128
25,"Long-Sleeve Logo Jersey, L",Jerseys,111.37,401
26,"Long-Sleeve Logo Jersey, L",Jerseys,434.39,563
27,"Long-Sleeve Logo Jersey, XL",Jerseys,370.78,341
28,"Long-Sleeve Logo Jersey, XL",Jerseys,120.75,603
29,"Long-Sleeve Logo Jersey, XL",Jerseys,114.87,302
30,"HL Road Frame - Red, 62",Road Frames,235.63,138
31,"HL Road Frame - Red, 62",Road Frames,298.27,107
32,"HL Road Frame - Red, 62",Road Frames,87.86,461
33,"HL Road Frame - Red, 44",Road Frames,457.74,474
34,"HL Road Frame - Red, 44",Road Frames,39.7,378
35,"HL Road Frame - Red, 44",Road Frames,306.63,934
36,"HL Road Frame - Red, 48",Road Frames,22.07,72
37,"HL Road Frame - Red, 48",Road Frames,346.52,180
38,"HL Road Frame - Red, 48",Road Frames,21.78,838
39,"HL Road Frame - Red, 52",Road Frames,49.34,850
40,"HL Road Frame - Red, 52",Road Frames,319.51,62
41,"HL Road Frame - Red, 52",Road Frames,49.69,410
42,"HL Road Frame - Red, 56",Road Frames,101.25,543
43,"HL Road Frame - Red, 56",Road Frames,110.6,520
44,"HL Road Frame - Red, 56",Road Frames,21.45,932
45,"LL Road Frame - Black, 58",Road Frames,260.69,529
46,"LL Road Frame - Black, 58",Road Frames,487.7,282
47,"LL Road Frame - Black, 58",Road Frames,410.08,682
48,"LL Road Frame - Black, 60",Road Frames,258.96,319
49,"LL Road Frame - Black, 60",Road Frames,103.65,790
50,"LL Road Frame - Black, 60",Road Frames,376.09,36
